Depth Averaged Temps (0/300m,deg C,5N-5S,120E-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199204 0.1885328E+02 0.1436996E-01
199205 0.1863473E+02 -.1623993E+00
199206 0.1849167E+02 -.2484398E+00
199207 0.1849770E+02 -.1967716E+00
199208 0.1854353E+02 -.1714497E+00
199209 0.1863180E+02 -.1799107E+00
199210 0.1879121E+02 -.1498489E+00
199211 0.1894286E+02 -.1070404E+00
199212 0.1901401E+02 -.5420876E-01
199301 0.1897464E+02 -.3205681E-01
199302 0.1891678E+02 -.8831024E-03
199303 0.1890991E+02 0.4183006E-01
199304 0.1887163E+02 0.3272057E-01
199305 0.1872083E+02 -.7629776E-01
199306 0.1849933E+02 -.2407837E+00
199307 0.1836142E+02 -.3330479E+00
199308 0.1840512E+02 -.3098545E+00
199309 0.1857381E+02 -.2379055E+00
199310 0.1876144E+02 -.1796188E+00
199311 0.1888334E+02 -.1665649E+00
199312 0.1888394E+02 -.1842804E+00
199401 0.1878444E+02 -.2222633E+00
199402 0.1868288E+02 -.2347832E+00
199403 0.1866002E+02 -.2080669E+00
199404 0.1869856E+02 -.1403446E+00
199405 0.1872938E+02 -.6775475E-01
199406 0.1870973E+02 -.3038406E-01
199407 0.1867875E+02 -.1571465E-01
199408 0.1874471E+02 0.2973557E-01
199409 0.1892152E+02 0.1098118E+00
199410 0.1915958E+02 0.2185192E+00
199411 0.1932401E+02 0.2741070E+00
199412 0.1924927E+02 0.1810513E+00
199501 0.1902990E+02 0.2320099E-01
199502 0.1882114E+02 -.9652901E-01
199503 0.1866226E+02 -.2058239E+00
199504 0.1860797E+02 -.2309399E+00
199505 0.1864043E+02 -.1567020E+00
199506 0.1865480E+02 -.8530807E-01
199507 0.1860872E+02 -.8574677E-01
199508 0.1856777E+02 -.1472034E+00
199509 0.1860412E+02 -.2075958E+00
199510 0.1872438E+02 -.2166805E+00
199511 0.1887785E+02 -.1720524E+00
199512 0.1899150E+02 -.7671547E-01
199601 0.1901967E+02 0.1296616E-01
199602 0.1897470E+02 0.5703545E-01
199603 0.1890457E+02 0.3648949E-01
199604 0.1884635E+02 0.7446289E-02
199605 0.1883687E+02 0.3974152E-01
199606 0.1882113E+02 0.8101845E-01
199607 0.1877536E+02 0.8089256E-01
199608 0.1880515E+02 0.9016991E-01
199609 0.1889582E+02 0.8411217E-01
199610 0.1900220E+02 0.6114197E-01
199611 0.1914083E+02 0.9092522E-01
199612 0.1928374E+02 0.2155228E+00
199701 0.1940215E+02 0.3954525E+00
199702 0.1944687E+02 0.5292034E+00
199703 0.1949727E+02 0.6291885E+00
199704 0.1959331E+02 0.7544041E+00
199705 0.1958345E+02 0.7863235E+00
199706 0.1947087E+02 0.7307568E+00
199707 0.1935395E+02 0.6594849E+00
199708 0.1934910E+02 0.6341267E+00
199709 0.1947931E+02 0.6675949E+00
199710 0.1958701E+02 0.6459503E+00
199711 0.1953445E+02 0.4845467E+00
199712 0.1924384E+02 0.1756287E+00
199801 0.1886091E+02 -.1457901E+00
199802 0.1861782E+02 -.2998505E+00
199803 0.1847379E+02 -.3942871E+00
199804 0.1830171E+02 -.5371952E+00
199805 0.1809879E+02 -.6983376E+00
