Depth Averaged Temps (0/300m,deg C,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199204 0.1768720E+02 0.1113569E+01
199205 0.1729321E+02 0.7016697E+00
199206 0.1699025E+02 0.3676376E+00
199207 0.1687447E+02 0.2323570E+00
199208 0.1680624E+02 0.1177769E+00
199209 0.1680090E+02 0.2410507E-01
199210 0.1688732E+02 0.2338409E-01
199211 0.1702475E+02 0.6655121E-01
199212 0.1724730E+02 0.2294502E+00
199301 0.1733293E+02 0.3585415E+00
199302 0.1721076E+02 0.4354439E+00
199303 0.1713387E+02 0.5140381E+00
199304 0.1715782E+02 0.5841904E+00
199305 0.1709490E+02 0.5033627E+00
199306 0.1688701E+02 0.2644062E+00
199307 0.1669078E+02 0.4866982E-01
199308 0.1666491E+02 -.2355766E-01
199309 0.1681763E+02 0.4083443E-01
199310 0.1696067E+02 0.9672928E-01
199311 0.1701654E+02 0.5834389E-01
199312 0.1695134E+02 -.6651688E-01
199401 0.1670813E+02 -.2662601E+00
199402 0.1642930E+02 -.3460197E+00
199403 0.1628030E+02 -.3395405E+00
199404 0.1629670E+02 -.2769318E+00
199405 0.1643659E+02 -.1549492E+00
199406 0.1654563E+02 -.7698059E-01
199407 0.1659807E+02 -.4404259E-01
199408 0.1677833E+02 0.8987045E-01
199409 0.1708573E+02 0.3089333E+00
199410 0.1743388E+02 0.5699444E+00
199411 0.1770854E+02 0.7503490E+00
199412 0.1774459E+02 0.7267399E+00
199501 0.1749441E+02 0.5200233E+00
199502 0.1702468E+02 0.2493591E+00
199503 0.1655117E+02 -.6866646E-01
199504 0.1631062E+02 -.2630100E+00
199505 0.1634853E+02 -.2430077E+00
199506 0.1645772E+02 -.1648884E+00
199507 0.1642395E+02 -.2181625E+00
199508 0.1630417E+02 -.3842907E+00
199509 0.1622292E+02 -.5538769E+00
199510 0.1622811E+02 -.6358242E+00
199511 0.1632238E+02 -.6358128E+00
199512 0.1644694E+02 -.5709095E+00
199601 0.1650457E+02 -.4698162E+00
199602 0.1642019E+02 -.3551254E+00
199603 0.1628712E+02 -.3327122E+00
199604 0.1622714E+02 -.3464928E+00
199605 0.1631705E+02 -.2744942E+00
199606 0.1648611E+02 -.1364994E+00
199607 0.1654268E+02 -.9943199E-01
199608 0.1654674E+02 -.1417236E+00
199609 0.1658650E+02 -.1902962E+00
199610 0.1659904E+02 -.2648926E+00
199611 0.1662797E+02 -.3302212E+00
199612 0.1676634E+02 -.2515087E+00
199701 0.1697465E+02 0.2632141E-03
199702 0.1703102E+02 0.2557030E+00
199703 0.1708061E+02 0.4607735E+00
199704 0.1744541E+02 0.8717785E+00
199705 0.1783854E+02 0.1247004E+01
199706 0.1808363E+02 0.1461023E+01
199707 0.1826925E+02 0.1627138E+01
199708 0.1850596E+02 0.1817501E+01
199709 0.1889364E+02 0.2116842E+01
199710 0.1922590E+02 0.2361961E+01
199711 0.1934156E+02 0.2383366E+01
199712 0.1907344E+02 0.2055584E+01
199801 0.1842753E+02 0.1453144E+01
199802 0.1776192E+02 0.9865990E+00
199803 0.1722599E+02 0.6061535E+00
199804 0.1676833E+02 0.1947021E+00
199805 0.1634717E+02 -.2443695E+00
199806 0.1600728E+02 -.6153297E+00
199807 0.1581107E+02 -.8310432E+00
