Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
199204 0.1518383E+16 -.1981832E+15
199205 0.1507148E+16 -.1812329E+15
199206 0.1511499E+16 -.1468000E+15
199207 0.1536336E+16 -.1035396E+15
199208 0.1567275E+16 -.7298706E+14
199209 0.1605429E+16 -.5091456E+14
199210 0.1654154E+16 -.2988250E+14
199211 0.1684869E+16 -.2325523E+14
199212 0.1675061E+16 -.3421559E+14
199301 0.1645506E+16 -.5627132E+14
199302 0.1637539E+16 -.7641606E+14
199303 0.1642380E+16 -.8397144E+14
199304 0.1617605E+16 -.9896168E+14
199305 0.1570411E+16 -.1179691E+15
199306 0.1526618E+16 -.1316809E+15
199307 0.1511021E+16 -.1288547E+15
199308 0.1530307E+16 -.1099557E+15
199309 0.1561270E+16 -.9507326E+14
199310 0.1597470E+16 -.8656694E+14
199311 0.1625469E+16 -.8265517E+14
199312 0.1639524E+16 -.6975228E+14
199401 0.1654689E+16 -.4708761E+14
199402 0.1676832E+16 -.3712315E+14
199403 0.1697387E+16 -.2896486E+14
199404 0.1704047E+16 -.1251956E+14
199405 0.1684089E+16 -.4291612E+13
199406 0.1650125E+16 -.8173591E+13
199407 0.1627996E+16 -.1187975E+14
199408 0.1620496E+16 -.1976651E+14
199409 0.1622365E+16 -.3397896E+14
199410 0.1635192E+16 -.4884438E+14
199411 0.1643188E+16 -.6493548E+14
199412 0.1614567E+16 -.9470926E+14
199501 0.1586931E+16 -.1148459E+15
199502 0.1600781E+16 -.1131744E+15
199503 0.1632985E+16 -.9336668E+14
199504 0.1659136E+16 -.5743042E+14
199505 0.1662144E+16 -.2623661E+14
199506 0.1643237E+16 -.1506138E+14
199507 0.1635473E+16 -.4403147E+13
199508 0.1647681E+16 0.7418885E+13
199509 0.1674859E+16 0.1851534E+14
199510 0.1720383E+16 0.3634589E+14
199511 0.1765526E+16 0.5740251E+14
199512 0.1787763E+16 0.7848677E+14
199601 0.1794784E+16 0.9300738E+14
199602 0.1805868E+16 0.9191284E+14
199603 0.1810151E+16 0.8379991E+14
199604 0.1792386E+16 0.7581933E+14
199605 0.1760470E+16 0.7208915E+14
199606 0.1719312E+16 0.6101337E+14
199607 0.1688446E+16 0.4857017E+14
199608 0.1690644E+16 0.5038158E+14
199609 0.1709846E+16 0.5350268E+14
199610 0.1742325E+16 0.5828821E+14
199611 0.1790288E+16 0.8216393E+14
199612 0.1819307E+16 0.1100313E+15
199701 0.1827353E+16 0.1255760E+15
199702 0.1838800E+16 0.1248446E+15
199703 0.1847294E+16 0.1209423E+15
199704 0.1809979E+16 0.9341232E+14
199705 0.1736798E+16 0.4841743E+14
199706 0.1658069E+16 -.2292439E+12
199707 0.1587503E+16 -.5237283E+14
199708 0.1550650E+16 -.8961248E+14
199709 0.1532488E+16 -.1238554E+15
199710 0.1508155E+16 -.1758821E+15
199711 0.1463308E+16 -.2448157E+15
199712 0.1405381E+16 -.3038954E+15
199801 0.1382847E+16 -.3189304E+15
199802 0.1407577E+16 -.3063783E+15
199803 0.1440507E+16 -.2858446E+15
199804 0.1455145E+16 -.2614219E+15
199805 0.1454102E+16 -.2342780E+15
199806 0.1449480E+16 -.2088182E+15
199807 0.1446195E+16 -.1936814E+15
199808 0.1461128E+16 -.1791345E+15
199809 0.1503440E+16 -.1529031E+15
199810 0.1566844E+16 -.1171927E+15
199811 0.1633086E+16 -.7503804E+14
199812 0.1685482E+16 -.2379466E+14
199901 0.1718706E+16 0.1692848E+14
199902 0.1749063E+16 0.3510800E+14
199903 0.1761430E+16 0.3507847E+14
199904 0.1743241E+16 0.2667497E+14
199905 0.1708045E+16 0.1966491E+14
199906 0.1669544E+16 0.1124557E+14
199907 0.1641638E+16 0.1762145E+13
199908 0.1640825E+16 0.5627749E+12
199909 0.1670578E+16 0.1423486E+14
199910 0.1715768E+16 0.3173095E+14
199911 0.1762902E+16 0.5477828E+14
199912 0.1798593E+16 0.8931653E+14
200001 0.1822491E+16 0.1207144E+15
200002 0.1845688E+16 0.1317331E+15
200003 0.1853860E+16 0.1275085E+15
200004 0.1835382E+16 0.1188153E+15
200005 0.1800381E+16 0.1120009E+15
200006 0.1757231E+16 0.9893269E+14
200007 0.1713938E+16 0.7406201E+14
200008 0.1689913E+16 0.4965103E+14
200009 0.1702292E+16 0.4594810E+14
200010 0.1740436E+16 0.5639883E+14
200011 0.1784540E+16 0.7641579E+14
200012 0.1801943E+16 0.9266674E+14
