Warm Water Volume (m**3,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
199204 0.8686053E+15 0.1570110E+15
199205 0.8042689E+15 0.9300671E+14
199206 0.7636622E+15 0.4055261E+14
199207 0.7604095E+15 0.2379976E+14
199208 0.7728632E+15 0.1903550E+14
199209 0.7959984E+15 0.1923327E+14
199210 0.8172456E+15 0.1941439E+14
199211 0.8420123E+15 0.2318853E+14
199212 0.8896964E+15 0.5403894E+14
199301 0.9024760E+15 0.7542204E+14
199302 0.8669959E+15 0.8656634E+14
199303 0.8283993E+15 0.9309476E+14
199304 0.8072075E+15 0.9561315E+14
199305 0.7898456E+15 0.7858341E+14
199306 0.7587627E+15 0.3565313E+14
199307 0.7328009E+15 -.3808898E+13
199308 0.7377987E+15 -.1602895E+14
199309 0.7806380E+15 0.3872920E+13
199310 0.8119553E+15 0.1412413E+14
199311 0.8211750E+15 0.2351226E+13
199312 0.8115878E+15 -.2406967E+14
199401 0.7685863E+15 -.5846766E+14
199402 0.7114364E+15 -.6899315E+14
199403 0.6724009E+15 -.6290369E+14
199404 0.6638238E+15 -.4777057E+14
199405 0.6827780E+15 -.2848416E+14
199406 0.7072221E+15 -.1588749E+14
199407 0.7313546E+15 -.5255161E+13
199408 0.7758902E+15 0.2206251E+14
199409 0.8420475E+15 0.6528236E+14
199410 0.9067492E+15 0.1089180E+15
199411 0.9525166E+15 0.1336929E+15
199412 0.9558058E+15 0.1201484E+15
199501 0.9052945E+15 0.7824061E+14
199502 0.8115104E+15 0.3108087E+14
199503 0.7130016E+15 -.2230296E+14
199504 0.6587379E+15 -.5285648E+14
199505 0.6657647E+15 -.4549746E+14
199506 0.6988995E+15 -.2421013E+14
199507 0.7086165E+15 -.2799332E+14
199508 0.6955992E+15 -.5822848E+14
199509 0.6847215E+15 -.9204363E+14
199510 0.6969203E+15 -.1009109E+15
199511 0.7253311E+15 -.9349265E+14
199512 0.7557147E+15 -.7994276E+14
199601 0.7625027E+15 -.6455128E+14
199602 0.7366982E+15 -.4373142E+14
199603 0.6977456E+15 -.3755902E+14
199604 0.6727760E+15 -.3881832E+14
199605 0.6855132E+15 -.2574900E+14
199606 0.7210567E+15 -.2052927E+13
199607 0.7402120E+15 0.3602270E+13
199608 0.7484213E+15 -.5406357E+13
199609 0.7595578E+15 -.1720732E+14
199610 0.7706451E+15 -.2718607E+14
199611 0.7887577E+15 -.3006611E+14
199612 0.8234066E+15 -.1225086E+14
199701 0.8589748E+15 0.3192087E+14
199702 0.8553199E+15 0.7489027E+14
199703 0.8388174E+15 0.1035129E+15
199704 0.8777186E+15 0.1661243E+15
199705 0.9300705E+15 0.2188084E+15
199706 0.9549271E+15 0.2318174E+15
199707 0.9680252E+15 0.2314154E+15
199708 0.9995610E+15 0.2457333E+15
199709 0.1070356E+16 0.2935912E+15
199710 0.1137710E+16 0.3398785E+15
199711 0.1148672E+16 0.3298487E+15
