Depth Averaged Temps (0/300m,deg C,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
199204 0.1992239E+02 -.9934292E+00
199205 0.1986470E+02 -.9546185E+00
199206 0.1986825E+02 -.8132877E+00
199207 0.1998595E+02 -.5902157E+00
199208 0.2013635E+02 -.4366283E+00
199209 0.2031045E+02 -.3669624E+00
199210 0.2053679E+02 -.3086720E+00
199211 0.2070148E+02 -.2661972E+00
199212 0.2063380E+02 -.3142796E+00
199301 0.2047984E+02 -.3901749E+00
199302 0.2048094E+02 -.4009247E+00
199303 0.2053826E+02 -.3911152E+00
199304 0.2044292E+02 -.4728928E+00
199305 0.2021156E+02 -.6077595E+00
199306 0.1997757E+02 -.7039642E+00
199307 0.1989314E+02 -.6830254E+00
199308 0.2000063E+02 -.5723438E+00
199309 0.2018395E+02 -.4934654E+00
199310 0.2041247E+02 -.4329834E+00
199311 0.2059490E+02 -.3727703E+00
199312 0.2065583E+02 -.2922516E+00
199401 0.2068809E+02 -.1819248E+00
199402 0.2074907E+02 -.1327953E+00
199403 0.2084185E+02 -.8752823E-01
199404 0.2090070E+02 -.1511574E-01
199405 0.2083151E+02 0.1218796E-01
199406 0.2069387E+02 0.1233673E-01
199407 0.2058643E+02 0.1025963E-01
199408 0.2054757E+02 -.2540207E-01
199409 0.2060466E+02 -.7275200E-01
199410 0.2074177E+02 -.1036835E+00
199411 0.2080514E+02 -.1625309E+00
199412 0.2062882E+02 -.3192596E+00
199501 0.2043771E+02 -.4323063E+00
199502 0.2046821E+02 -.4136543E+00
199503 0.2059780E+02 -.3315792E+00
199504 0.2071428E+02 -.2015362E+00
199505 0.2074175E+02 -.7757378E-01
199506 0.2066919E+02 -.1234245E-01
199507 0.2061182E+02 0.3565598E-01
199508 0.2064314E+02 0.7016945E-01
199509 0.2078731E+02 0.1098919E+00
199510 0.2101307E+02 0.1676121E+00
199511 0.2122082E+02 0.2531452E+00
199512 0.2132447E+02 0.3763866E+00
199601 0.2132562E+02 0.4556046E+00
199602 0.2131679E+02 0.4349251E+00
199603 0.2130437E+02 0.3749866E+00
199604 0.2124777E+02 0.3319511E+00
199605 0.2114717E+02 0.3278446E+00
199606 0.2096198E+02 0.2804508E+00
199607 0.2082239E+02 0.2462215E+00
199608 0.2087576E+02 0.3027802E+00
199609 0.2101312E+02 0.3357048E+00
199610 0.2120553E+02 0.3600693E+00
199611 0.2144473E+02 0.4770527E+00
199612 0.2159180E+02 0.6437225E+00
199701 0.2162780E+02 0.7577801E+00
199702 0.2166183E+02 0.7799625E+00
199703 0.2171298E+02 0.7835979E+00
199704 0.2156261E+02 0.6467915E+00
199705 0.2118327E+02 0.3639488E+00
199706 0.2074275E+02 0.6121445E-01
199707 0.2034846E+02 -.2277031E+00
199708 0.2012213E+02 -.4508457E+00
199709 0.2001628E+02 -.6611404E+00
199710 0.1991809E+02 -.9273643E+00
199711 0.1971130E+02 -.1256376E+01
199712 0.1940008E+02 -.1547998E+01
199801 0.1925825E+02 -.1611765E+01
